2026-04-15 00:02:31,697 - main - INFO - Data capture thread initialized
2026-04-15 00:02:33,009 - main - INFO - Inference thread initialized on cuda
2026-04-15 00:02:33,009 - main - INFO - Output thread initialized
2026-04-15 00:02:33,010 - main - INFO - Starting Attention Monitor...
2026-04-15 00:02:34,703 - main - INFO - Frame 50: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,736 - main - INFO - Frame 51: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,771 - main - INFO - Frame 52: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,804 - main - INFO - Frame 53: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,839 - main - INFO - Frame 54: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,872 - main - INFO - Frame 55: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,906 - main - INFO - Frame 56: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,940 - main - INFO - Frame 57: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:34,974 - main - INFO - Frame 58: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,008 - main - INFO - Frame 59: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,041 - main - INFO - Frame 60: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,075 - main - INFO - Frame 61: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,109 - main - INFO - Frame 62: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,142 - main - INFO - Frame 63: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,176 - main - INFO - Frame 64: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,211 - main - INFO - Frame 65: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,245 - main - INFO - Frame 66: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,279 - main - INFO - Frame 67: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,312 - main - INFO - Frame 68: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,345 - main - INFO - Frame 69: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,379 - main - INFO - Frame 70: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,413 - main - INFO - Frame 71: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,446 - main - INFO - Frame 72: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,481 - main - INFO - Frame 73: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,514 - main - INFO - Frame 74: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,547 - main - INFO - Frame 75: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,581 - main - INFO - Frame 76: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,615 - main - INFO - Frame 77: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,648 - main - INFO - Frame 78: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,682 - main - INFO - Frame 79: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,716 - main - INFO - Frame 80: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,750 - main - INFO - Frame 81: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,783 - main - INFO - Frame 82: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,818 - main - INFO - Frame 83: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,851 - main - INFO - Frame 84: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,885 - main - INFO - Frame 85: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,919 - main - INFO - Frame 86: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,953 - main - INFO - Frame 87: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:35,986 - main - INFO - Frame 88: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,020 - main - INFO - Frame 89: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,054 - main - INFO - Frame 90: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,088 - main - INFO - Frame 91: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,121 - main - INFO - Frame 92: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,155 - main - INFO - Frame 93: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,188 - main - INFO - Frame 94: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,222 - main - INFO - Frame 95: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,256 - main - INFO - Frame 96: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,290 - main - INFO - Frame 97: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,323 - main - INFO - Frame 98: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,357 - main - INFO - Frame 99: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,390 - main - INFO - Frame 100: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,390 - main - INFO - Health: FPS=21.5, Avg Inference=0.0ms, CPU=7.6%, Memory=76.2%
2026-04-15 00:02:36,424 - main - INFO - Frame 101: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,457 - main - INFO - Frame 102: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,491 - main - INFO - Frame 103: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,525 - main - INFO - Frame 104: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,558 - main - INFO - Frame 105: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,592 - main - INFO - Frame 106: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,626 - main - INFO - Frame 107: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,659 - main - INFO - Frame 108: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,694 - main - INFO - Frame 109: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
2026-04-15 00:02:36,727 - main - INFO - Frame 110: State=unknown, Confidence=0.000, Attention=0.000, Uncertain=True
